time,loves,wow,haha,likes,sad,angry,shares
2017-02-09 19:44:46.086,17,0,0,137,0,17,28
2017-02-09 19:49:46.53,54,1,18,433,0,54,99
2017-02-09 19:54:46.837,82,1,33,708,0,82,165
2017-02-09 19:59:47.159,108,1,48,958,0,108,231
2017-02-09 20:04:47.511,128,1,55,1169,0,128,278
2017-02-09 20:09:47.824,142,1,60,1373,1,142,317
2017-02-09 20:14:48.17,153,1,71,1523,1,153,357
2017-02-09 20:19:48.507,169,2,79,1659,1,169,386
2017-02-09 20:24:48.889,178,2,85,1778,1,178,417
2017-02-09 20:29:49.374,186,2,90,1897,1,186,444
2017-02-09 20:34:49.732,198,2,95,2016,1,198,475
2017-02-09 20:39:50.096,206,2,98,2151,1,206,501
2017-02-09 20:44:50.555,223,2,103,2248,2,223,531
2017-02-09 20:49:51.978,231,2,108,2358,2,231,557
2017-02-09 20:54:52.303,233,2,109,2442,2,233,581
2017-02-09 20:59:52.622,237,2,110,2529,2,237,606
2017-02-09 21:04:52.959,241,3,114,2598,2,241,627
2017-02-09 21:09:53.369,244,3,115,2660,2,244,647
2017-02-09 21:14:53.749,252,3,118,2726,2,252,663
