time,loves,wow,haha,likes,sad,angry,shares
2017-02-09 14:29:18.636,179,4,65,2971,6,179,471
2017-02-09 14:34:19.011,179,4,65,2976,6,179,472
2017-02-09 14:39:19.393,179,4,65,2982,6,179,473
2017-02-09 14:44:19.748,179,4,65,2983,6,179,474
2017-02-09 14:49:20.178,179,4,65,2987,6,179,474
2017-02-09 14:54:20.577,179,5,65,2989,6,179,475
2017-02-09 14:59:21.002,179,5,65,2995,6,179,480
2017-02-09 15:04:21.431,181,5,65,2997,6,181,480
2017-02-09 15:09:21.905,181,5,65,3001,6,181,481
2017-02-09 15:14:22.284,181,5,66,3006,6,181,481
2017-02-09 15:19:22.678,181,5,66,3008,6,181,481
2017-02-09 15:24:23.061,181,5,66,3015,6,181,481
2017-02-09 15:29:23.461,181,5,67,3017,6,181,482
2017-02-09 15:34:23.826,181,5,67,3024,6,181,484
2017-02-09 15:39:24.225,181,5,67,3029,6,181,486
2017-02-09 15:44:24.606,181,5,67,3035,6,181,486
2017-02-09 15:49:24.987,181,5,67,3041,6,181,486
2017-02-09 15:54:25.441,181,5,67,3047,6,181,486
2017-02-09 15:59:25.823,181,5,67,3049,6,181,486
2017-02-09 16:04:26.204,181,5,67,3050,6,181,486
2017-02-09 16:09:26.593,181,5,67,3054,6,181,488
2017-02-09 16:14:26.979,181,5,67,3061,6,181,489
2017-02-09 16:19:27.361,181,5,67,3065,6,181,489
2017-02-09 16:24:27.981,181,5,67,3070,6,181,489
2017-02-09 16:29:28.364,181,5,67,3075,6,181,489
2017-02-09 16:34:28.742,181,5,67,3078,6,181,491
2017-02-09 16:39:29.121,182,5,67,3081,6,182,492
2017-02-09 16:44:29.53,182,5,68,3086,6,182,492
2017-02-09 16:49:29.912,182,5,68,3092,6,182,493
2017-02-09 16:54:30.303,183,5,69,3094,6,183,494
2017-02-09 16:59:30.682,183,5,69,3098,6,183,494
2017-02-09 17:04:31.068,183,5,69,3103,6,183,494
2017-02-09 17:09:31.462,183,5,69,3105,6,183,494
2017-02-09 17:14:31.842,183,5,70,3108,6,183,495
2017-02-09 17:19:32.307,183,5,70,3112,6,183,496
2017-02-09 17:24:32.69,183,5,70,3115,6,183,496
2017-02-09 17:29:33.07,183,5,70,3124,6,183,496
2017-02-09 17:34:33.503,183,5,70,3128,6,183,498
2017-02-09 17:39:33.873,183,5,71,3132,6,183,498
2017-02-09 17:44:34.254,184,5,71,3136,6,184,498
2017-02-09 17:49:34.638,184,5,71,3138,6,184,499
2017-02-09 17:54:35.005,184,5,71,3141,7,184,500
2017-02-09 17:59:35.38,184,5,71,3144,7,184,500
2017-02-09 18:04:35.758,184,5,71,3148,7,184,503
2017-02-09 18:09:36.169,184,5,71,3151,7,184,509
2017-02-09 18:14:36.613,184,5,71,3153,7,184,510
2017-02-09 18:19:37.178,184,5,71,3162,7,184,512
2017-02-09 18:24:37.571,185,5,71,3168,7,185,513
2017-02-09 18:29:38.003,185,5,71,3170,7,185,514
2017-02-09 18:34:38.462,185,5,72,3174,7,185,514
2017-02-09 18:39:39.092,185,5,72,3176,7,185,514
2017-02-09 18:44:39.694,186,5,72,3182,7,186,516
2017-02-09 18:49:40.202,188,5,72,3188,7,188,519
2017-02-09 18:54:40.616,189,5,72,3194,7,189,519
2017-02-09 18:59:41.018,189,5,72,3195,7,189,519
2017-02-09 19:04:41.45,189,5,72,3203,7,189,519
2017-02-09 19:09:41.868,189,5,72,3208,7,189,520
2017-02-09 19:14:42.261,189,5,72,3211,7,189,520
2017-02-09 19:19:42.782,190,5,73,3215,7,190,521
2017-02-09 19:24:43.165,190,5,74,3221,7,190,521
2017-02-09 19:29:43.538,190,5,74,3224,7,190,521
2017-02-09 19:34:43.966,190,5,74,3229,7,190,522
2017-02-09 19:39:44.462,191,5,75,3236,7,191,524
2017-02-09 19:44:44.845,191,5,76,3237,7,191,526
2017-02-09 19:49:45.421,191,5,76,3240,7,191,526
2017-02-09 19:54:45.79,192,5,76,3244,7,192,526
2017-02-09 19:59:46.37,192,5,77,3247,7,192,526
2017-02-09 20:04:46.764,192,5,77,3249,7,192,528
2017-02-09 20:09:47.449,192,5,77,3254,7,192,528
2017-02-09 20:14:47.831,192,5,77,3256,7,192,528
2017-02-09 20:19:48.208,192,5,78,3258,7,192,528
2017-02-09 20:24:48.675,192,5,78,3266,7,192,528
2017-02-09 20:29:49.272,193,5,78,3267,7,193,528
2017-02-09 20:34:49.716,193,6,79,3269,7,193,528
2017-02-09 20:39:50.099,194,6,79,3273,7,194,528
2017-02-09 20:44:50.527,195,6,79,3280,7,195,530
2017-02-09 20:49:50.902,196,6,80,3285,7,196,529
2017-02-09 20:54:51.273,196,6,80,3288,7,196,529
2017-02-09 20:59:51.755,196,6,80,3291,7,196,530
2017-02-09 21:04:52.13,196,6,80,3298,7,196,533
2017-02-09 21:09:52.729,196,6,80,3298,7,196,535
2017-02-09 21:14:53.126,196,6,80,3299,7,196,535
